Date,Open,High,Low,Close
2013-07-16,1186499968.0,1280249984.0,1182249984.0,1252000000.0
2013-07-17,1220749952.0,1244499968.0,1165250048.0,1168999936.0
2013-07-18,1148000000.0,1158749952.0,1101250048.0,1127500032.0
2013-07-19,1144999936.0,1173500032.0,1068249984.0,1080999936.0
2013-07-22,1065249984.0,1087500032.0,1026000000.0,1032750016.0
2013-07-23,1013000000.0,1058750016.0,997249984.0,1024000000.0
2013-07-24,1008750016.0,1070499968.0,1006249984.0,1049750016.0
2013-07-25,1071000000.0,1075000064.0,992499968.0,999750016.0
2013-07-26,1020249984.0,1054750016.0,984750016.0,990249984.0
2013-07-29,1010750016.0,1035000000.0,992249984.0,1013249984.0
2013-07-30,1007500032.0,1028000000.0,973500032.0,977249984.0
2013-07-31,973000000.0,976000000.0,892249984.0,935000000.0
2013-08-01,885000000.0,895000000.0,870000000.0,877249984.0
2013-08-02,878249984.0,880249984.0,829750016.0,833249984.0
2013-08-05,826499968.0,836000000.0,806000000.0,811249984.0
2013-08-06,819500032.0,872000000.0,814499968.0,860000000.0
2013-08-07,887000000.0,924499968.0,867500032.0,877500032.0
2013-08-08,845249984.0,886750016.0,837500032.0,848249984.0
2013-08-09,852499968.0,891500032.0,836750016.0,873750016.0
2013-08-12,911000000.0,914000000.0,856499968.0,864249984.0
2013-08-13,849000000.0,888000000.0,837750016.0,848750016.0
2013-08-14,838000000.0,866249984.0,830249984.0,865000000.0
2013-08-15,922000000.0,958750016.0,913000000.0,949750016.0
2013-08-16,948750016.0,954750016.0,887500032.0,918249984.0
2013-08-19,926249984.0,975000000.0,914000000.0,967500032.0
2013-08-20,975750016.0,988000000.0,896750016.0,942499968.0
2013-08-21,978499968.0,1017000000.0,906249984.0,977750016.0
2013-08-22,954750016.0,959500032.0,919750016.0,931000000.0
2013-08-23,912499968.0,930499968.0,891500032.0,894000000.0
2013-08-26,876000000.0,957750016.0,862750016.0,950249984.0
2013-08-27,1039000000.0,1117500032.0,1009750016.0,1104999936.0
2013-08-28,1120499968.0,1149250048.0,1063750016.0,1096249984.0
2013-08-29,1131000064.0,1147750016.0,1080000000.0,1146249984.0
2013-08-30,1129250048.0,1214749952.0,1128749952.0,1173750016.0
2013-09-03,1069249984.0,1133500032.0,1059000000.0,1084499968.0
2013-09-04,1086499968.0,1101250048.0,1063750016.0,1078000000.0
2013-09-05,1074249984.0,1081750016.0,1025249984.0,1032499968.0
2013-09-06,1002000000.0,1107000064.0,995750016.0,1045500032.0
2013-09-09,1024000000.0,1036249984.0,959500032.0,967500032.0
2013-09-10,912000000.0,925500032.0,896499968.0,897500032.0
2013-09-11,906499968.0,913249984.0,834249984.0,841249984.0
2013-09-12,835750016.0,872000000.0,812750016.0,867500032.0
2013-09-13,835000000.0,873750016.0,827500032.0,841500032.0
2013-09-16,803249984.0,838499968.0,799249984.0,828000000.0
2013-09-17,821000000.0,822499968.0,800750016.0,808499968.0
2013-09-18,815249984.0,837000000.0,729000000.0,748499968.0
2013-09-19,727500032.0,757000000.0,722000000.0,741249984.0
2013-09-20,742000000.0,766750016.0,725000000.0,766000000.0
2013-09-23,763249984.0,814000000.0,756000000.0,786499968.0
2013-09-24,775750016.0,794000000.0,750000000.0,777000000.0
2013-09-25,772750016.0,793000000.0,755000000.0,771249984.0
2013-09-26,748750016.0,767249984.0,739500032.0,743249984.0
2013-09-27,766499968.0,817249984.0,762499968.0,803500032.0
2013-09-30,874499968.0,882000000.0,820000000.0,858499968.0
